Date&Time,OverSpeed,Location,Duration_overspeed,speed_limit_seconds,over_speed_distance_travelled,Target
25-07-2018 08:46,61,"NH48,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631551",31,16.94444444,525.2777778,safe
25-07-2018 08:50,62,"AH45,Kanchipuram,Tamil Nadu,India,631551",1,17.22222222,17.22222222,safe
25-07-2018 08:50,61,"NH48,Dhamal,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
25-07-2018 08:52,61,"NH4,TamilNadu,India,631551",111,16.94444444,1880.833333,safe
25-07-2018 13:22,61,"AH45,Thiruppukuzhi,Kanchipuram,Tamil Nadu,India,631551",11,16.94444444,186.3888889,safe
25-07-2018 13:24,61,"NH4,Sirunaiperugal,TamilNadu,India,631502",1,16.94444444,16.94444444,safe
25-07-2018 13:52,61,"MDR791,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
25-07-2018 13:53,63,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,631561",31,17.5,542.5,unsafe
25-07-2018 13:56,62,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",31,17.22222222,533.8888889,safe
25-07-2018 13:57,62,"AH45,Keeranallur,Kanchipuram,Tamil Nadu,India,602108",31,17.22222222,533.8888889,safe
25-07-2018 15:49,61,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",1,16.94444444,16.94444444,safe
25-07-2018 15:53,61,"AH45,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
25-07-2018 16:03,61,"AH45,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
25-07-2018 16:05,62,"AH45,Kanchipuram,Tamil Nadu,India,631561",11,17.22222222,189.4444444,unsafe
25-07-2018 16:31,65,"NH4,Thiruppukuzhi,TamilNadu,India,631551",121,18.05555556,2184.722222,unsafe
25-07-2018 16:35,63,"AH45,Dhamal,Kanchipuram,Tamil Nadu,India,631551",11,17.5,192.5,unsafe
25-07-2018 23:55,61,"Kanchipuram - Chennai Rd,Chinnaiyan Chatram,Neervalur,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
26-07-2018 00:00,61,"AH45,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
26-07-2018 00:01,62,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",21,17.22222222,361.6666667,safe
26-07-2018 05:52,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",31,16.94444444,525.2777778,safe
26-07-2018 05:54,61,"NH48,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",41,16.94444444,694.7222222,safe
26-07-2018 05:58,61,"Kanchipuram - Chennai Rd,Neervalur,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
26-07-2018 06:01,61,"NH48,Pillai Chattiram,Kanchipuram,Tamil Nadu,India,602108",21,16.94444444,355.8333333,safe
26-07-2018 06:03,61,"AH45,Kanchipuram,Tamil Nadu,India,602106",21,16.94444444,355.8333333,safe
26-07-2018 06:03,61,"AH45,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
26-07-2018 06:08,63,"NH48,Molasur,Kanchipuram,Tamil Nadu,India,602106",1,17.5,17.5,safe
26-07-2018 07:48,62,"Kodambakkam - Mumbai Highwayy,Santhavelur,TamilNadu,India,602106",31,17.22222222,533.8888889,safe
26-07-2018 07:51,61,"NH48,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
26-07-2018 07:54,62,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",11,17.22222222,189.4444444,safe
26-07-2018 07:56,62,"Kanchipuram - Chennai Rd,Neervalur,TamilNadu,India,631561",1,17.22222222,17.22222222,safe
26-07-2018 07:58,62,"AH45,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",51,17.22222222,878.3333333,safe
26-07-2018 08:01,61,"AH45,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",151,16.94444444,2558.611111,safe
26-07-2018 08:01,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",11,16.94444444,186.3888889,safe
26-07-2018 08:02,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",21,16.94444444,355.8333333,safe
27-07-2018 00:36,65,"NH48,Enathur,Kanchipuram,Tamil Nadu,India,631502",11,18.05555556,198.6111111,unsafe
27-07-2018 01:01,67,"NH4,Dhamal,TamilNadu,India,631551",431,18.61111111,8021.388889,unsafe
27-07-2018 01:02,63,"Kodambakkam - Mumbai Highwayy,TamilNadu,India,631551",31,17.5,542.5,unsafe
27-07-2018 06:10,61,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
27-07-2018 07:49,61,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",1,16.94444444,16.94444444,safe
27-07-2018 07:51,61,"NH48,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
27-07-2018 08:09,61,"NH48,Kanchipuram,Tamil Nadu,India,631552",1,16.94444444,16.94444444,safe
27-07-2018 14:09,61,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
27-07-2018 23:56,61,"Kanchipuram - Chennai Rd,Neervalur,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
28-07-2018 06:04,61,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",21,16.94444444,355.8333333,safe
28-07-2018 07:48,62,"AH45,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",1,17.22222222,17.22222222,safe
28-07-2018 07:59,61,"NH48,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
28-07-2018 08:03,62,"Kodambakkam - Mumbai Highwayy,Seeyati,TamilNadu,India,631552",1,17.22222222,17.22222222,safe
28-07-2018 13:25,63,"Damal Main Rd,Dhamal,Kanchipuram,Tamil Nadu,India,631551",21,17.5,367.5,unsafe
28-07-2018 13:26,61,"AH45,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
28-07-2018 13:26,61,"Kodambakkam - Mumbai Highwayy,TamilNadu,India,631551",1,16.94444444,16.94444444,safe
28-07-2018 13:26,61,"M.B.T. Road,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
28-07-2018 13:27,61,"Voc St,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
28-07-2018 13:28,63,"NH4,Thiruppukuzhi,TamilNadu,India,631551",11,17.5,192.5,unsafe
28-07-2018 13:29,61,"NH48,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631502",41,16.94444444,694.7222222,safe
28-07-2018 13:31,61,"NH4,Kilambi,TamilNadu,India,631502",31,16.94444444,525.2777778,safe
28-07-2018 14:01,62,"Kanchipuram - Chennai Rd,Illuppapattu,TamilNadu,India,631561",1,17.22222222,17.22222222,safe
28-07-2018 14:04,61,"Kanchipuram - Chennai Rd,Neervalur,TamilNadu,India,631561",151,16.94444444,2558.611111,safe
28-07-2018 14:06,61,"Kanchipuram - Chennai Rd,Chinnaiyan Chatram,Neervalur,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
28-07-2018 14:06,62,"Chennai - Bengaluru Highway,Neervalur,Kanchipuram,Tamil Nadu,India,631561",1,17.22222222,17.22222222,safe
28-07-2018 14:08,61,"AH45,Keeranallur,Kanchipuram,Tamil Nadu,India,602108",21,16.94444444,355.8333333,safe
28-07-2018 14:09,61,"NH48,Pillai Chattiram,Kanchipuram,Tamil Nadu,India,602108",1,16.94444444,16.94444444,safe
28-07-2018 14:12,63,"Kanchipuram - Chennai Rd,Nandimedu,TamilNadu,India,602106",1,17.5,17.5,unsafe
28-07-2018 14:14,66,"AH45,Molasur,Kanchipuram,Tamil Nadu,India,602106",21,18.33333333,385,unsafe
28-07-2018 14:15,67,"NH48,Molasur,Kanchipuram,Tamil Nadu,India,602106",31,18.61111111,576.9444444,unsafe
28-07-2018 19:37,61,"SH 120,Ulundai,TamilNadu,India,602108",1,16.94444444,16.94444444,safe
28-07-2018 23:46,61,"AH45,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
28-07-2018 23:52,61,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
29-07-2018 07:52,63,"NH48,Jambodai,Kanchipuram,Tamil Nadu,India,602108",31,17.5,542.5,unsafe
29-07-2018 07:53,62,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,602108",31,17.22222222,533.8888889,safe
29-07-2018 07:55,62,"AH45,Neervalur,Kanchipuram,Tamil Nadu,India,631561",11,17.22222222,189.4444444,safe
29-07-2018 07:56,61,"Chennai - Bengaluru Hwy,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",51,16.94444444,864.1666667,safe
29-07-2018 07:57,63,"AH45,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",11,17.5,192.5,unsafe
29-07-2018 08:00,62,"NH48,Kanchipuram,Tamil Nadu,India,631561",41,17.22222222,706.1111111,safe
29-07-2018 08:01,61,"Kodambakkam - Mumbai Highwayy,Seeyati,TamilNadu,India,631552",1,16.94444444,16.94444444,safe
29-07-2018 08:24,61,"NH4,Sirunaiperugal,TamilNadu,India,631502",1,16.94444444,16.94444444,safe
29-07-2018 08:28,61,"NH48,Dhamal,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
30-07-2018 04:58,61,"Panapakkam-Walaja Rd,Vellore,Tamil Nadu,India,631052",1,16.94444444,16.94444444,safe
30-07-2018 08:11,61,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",21,16.94444444,355.8333333,safe
30-07-2018 08:18,61,"Kanchipuram - Chennai Rd,Illuppapattu,TamilNadu,India,631561",111,16.94444444,1880.833333,safe
30-07-2018 08:20,61,"Kodambakkam - Mumbai Highwayy,Seeyati,TamilNadu,India,631552",1,16.94444444,16.94444444,safe
30-07-2018 08:53,61,"NH48,Dhamal,Kanchipuram,Tamil Nadu,India,631551",41,16.94444444,694.7222222,safe
30-07-2018 08:54,61,"AH45,Dhamal,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
30-07-2018 08:54,61,"NH4,TamilNadu,India,631551",11,16.94444444,186.3888889,safe
30-07-2018 13:18,61,"M.B.T. Road,Kanchipuram,Tamil Nadu,India,631551",31,16.94444444,525.2777778,safe
30-07-2018 13:21,62,"NH4,Sirunaiperugal,TamilNadu,India,631502",21,17.22222222,361.6666667,safe
30-07-2018 13:21,61,"NH48,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631502",1,16.94444444,16.94444444,safe
